7281440701607202;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607203;1;1;
7281440701607423;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607424;1;1;
7281440701607439;1;1;
7281440701607440;1;1;
7281440701607442;1;1;
7281440701607455;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607476;1;1;
7281440701607480;1;1;
7281440701607487;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607496;1;1;
7281440701607499;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607515;1;1;
7281440701607516;1;1;
7281440701607517;1;1;
7281440701607522;1;1;
7281440701607535;1;1;
7281440701607536;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607538;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607542;1;1;
7281440701607554;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607556;1;1;
7281440701607565;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607573;1;1;
7281440701607575;1;1;
7281440701607576;1;1;
7281440701607577;1;1;
7281440701607592;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607595;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607596;1;1;
7281440701607597;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607612;1;1;
7281440701607615;1;1;
7281440701607616;1;1;
7281440701607632;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
7281440701607633;1;1;
7281440701607634;1;0;Экземпляр с данным заводским номером уже используется. Повторная регистрация не допускается. Проверьте корректность вводимого значения.
